Employee ID,Age,Years of Experience,Hours per Week,Department,Education Level,Gender,City,Annual Salary
EMP1097,47.0,27.5,49.3,Marketing,Masters,Female,Austin,123371.48
EMP1288,42.0,18.0,49.2,Sales, Bachelors ,Male,Austin,80461.9
EMP1283,40.0,19.5,44.0,Marketing,Masters,Male,Chicago,103741.2
EMP1292,58.0,33.0,40.4,Marketing,Bachelors,Male,Remote,115025.08
EMP1220,,1.5,38.5,Marketing,Bachelors,Female,Chicago,48496.64
EMP1193,35.0,9.2,49.2,Sales,Bachelors,Female,New York,73026.48
EMP1118,31.0,9.4,51.0,Engineering,PhD,Female,New York,101297.02
EMP1086,25.0,1.6,40.9,Marketing,Bachelors,Male,,53440.0
EMP1074,48.0,27.2,36.8,Marketing, Bachelors ,Female,Remote,103579.22
EMP1281,,12.8,36.6,Sales,Bachelors,Male,Austin,80233.28
EMP1057,27.0,0.0,39.6,Sales,Masters,Female,Seattle,
EMP1113,39.0,20.7,47.9,Marketing,Bachelors,Male,Chicago,82159.72
EMP1155,47.0,27.1,46.5,Sales,Bachelors,Female,Austin,110231.33
EMP1265,130.0,20.8,42.2,Marketing,Bachelors,Female,Chicago,91620.34
EMP1060,57.0,,39.7,Marketing,Bachelors,Female,Austin,133300.62
EMP1238,33.0,8.6,35.3,Engineering,Bachelors,Female,Chicago,85247.97
EMP1179,41.0,18.1,35.8,Engineering,Bachelors,Female,Austin,110635.71
EMP1003,38.0,12.1,54.7,Engineering,Masters,Female,New York,93158.56
EMP1110,32.0,12.1,33.9,Marketing,PhD,Male,Seattle,95688.34
EMP1312,26.0,4.9,43.1,Sales,Bachelors,Male,New York,72139.12
EMP1276,39.0,14.6,38.9,HR,Masters,Female,Austin,79104.87
EMP1316,49.0,27.1,43.4,Engineering,Masters,Male,Austin,125175.26
EMP1230,39.0,19.8,32.3,HR,Bachelors,Female,Chicago,87433.25
EMP1125,43.0,23.7,52.2,Engineering,Bachelors,Male,Chicago,111963.35
EMP1028,42.0,22.3,37.7,Sales,Bachelors,Male,New York,98520.74
